"db_einfuegemarke";"key_anredetitel";"ueberkey";"kurz_anredetitel_m";"kurz_anredetitel_w";"druck_anredetitelm";"druck_anredetitelw";"text_anredetitel_m";"text_anredetitel_w";"key_von";"key_bis";"brief_anredetitelm";"brief_anredetitelw";"obj_guid";"lock_version";"id";"k_language_id";"sortorder"
;"068 ";;Dr. rer. n;Dr. rer. n;Dr. rer. nat.            ;Dr. rer. nat.            ;Dr. rer. nat.                                                                                                                                                                                                                                                  ;Dr. rer. nat.                                                                                                                                                                                                                                                  ;;;;;"0";0;15;;
;"071 ";;Dr.-Ing.  ;Dr.-Ing.  ;Dr.-Ing.                 ;Dr.-Ing.                 ;Dr.-Ing.                                                                                                                                                                                                                                                       ;Dr.-Ing.                                                                                                                                                                                                                                                       ;;;;;"0";0;16;;
;"025 ";;Dipl.-Ing.;Dipl.-Ing.;Dipl.-Ing.-Päd.          ;Dipl.-Ing.-Päd.          ;Dipl.-Ing.-Päd.                                                                                                                                                                                                                                                ;Dipl.-Ing.-Päd.                                                                                                                                                                                                                                                ;;;;;"0";0;17;;
;"193 ";;Dipl.-Geog;Dipl.-Geog;Dipl.-Geogr.             ;Dipl.-Geogr.             ;Dipl.-Geograph                                                                                                                                                                                                                                                 ;Dipl.-Geographin                                                                                                                                                                                                                                               ;;;;;"0";0;18;;
;"093 ";;Prof.     ;Prof.     ;Prof.                    ;Prof.                    ;Professor                                                                                                                                                                                                                                                      ;Professorin                                                                                                                                                                                                                                                    ;;;;;"0";0;19;;
;"118 ";;Dipl.-Betr;Dipl.-Betr;Dipl.-Betriebswirt (FH)  ;Dipl.-Betriebswirtin (FH);Dipl.-Betriebswirt (FH)                                                                                                                                                                                                                                        ;Dipl.-Betriebswirtin (FH)                                                                                                                                                                                                                                      ;;;;;"0";0;20;;
;"119 ";;Dipl.-Betr;Dipl.-Betr;Dipl.-Betriebswirt (BA)  ;Dipl.-Betriebswirtin (BA);Dipl.-Betriebswirt (BA)                                                                                                                                                                                                                                        ;Dipl.-Betriebswirtin (BA)                                                                                                                                                                                                                                      ;;;;;"0";0;21;;
;"120 ";;Diplôme d';Diplôme d';Diplôme d'Ingénieur      ;Diplôme d'Ingénieur      ;Diplôme d'Ingénieur                                                                                                                                                                                                                                            ;Diplôme d'Ingénieur                                                                                                                                                                                                                                            ;;;;;"0";0;22;;
;"121 ";;Dipl.-Verw;Dipl.-Verw;Dipl.-Verwaltungsw. (FH) ;Dipl.-Verwaltungsw. (FH) ;Dipl.-Verwaltungswirt (FH)                                                                                                                                                                                                                                     ;Dipl.-Verwaltungswirtin (FH)                                                                                                                                                                                                                                   ;;;;;"0";0;23;;
;"123 ";;Dipl.-Math;Dipl.-Math;Dipl.-Math. oec.         ;Dipl.-Math. oec.         ;Dipl.-Math. oec.                                                                                                                                                                                                                                               ;Dipl.-Math. oec.                                                                                                                                                                                                                                               ;;;;;"0";0;24;;
