"db_einfuegemarke";"key_anredetitel";"ueberkey";"kurz_anredetitel_m";"kurz_anredetitel_w";"druck_anredetitelm";"druck_anredetitelw";"text_anredetitel_m";"text_anredetitel_w";"key_von";"key_bis";"brief_anredetitelm";"brief_anredetitelw";"obj_guid";"lock_version";"id";"k_language_id";"sortorder"
;"041 ";;Dipl. Regi;Dipl. Regi;Dipl. Regionalwissensch. ;Dipl. Regionalwissensch. ;Dipl. Regionalwissenschaftler                                                                                                                                                                                                                                  ;Dipl. Regionalwissenschaftlerin                                                                                                                                                                                                                                ;;;;;"0";0;156;;
;"042 ";;Dipl. Dolm;Dipl. Dolm;Dipl. Dolmetscher        ;Dipl. Dolmetscherin      ;Dipl. Dolmetscher                                                                                                                                                                                                                                              ;Dipl. Dolmetscherin                                                                                                                                                                                                                                            ;;;;;"0";0;157;;
;"069 ";;Dr. pharm.;Dr. pharm.;Dr. pharm.               ;Dr. pharm.               ;;;;;;;"0";0;158;;
;"046 ";;Dipl. Wirt;Dipl. Wirt;Dipl. Wirtschatsjurist   ;Dipl. Wirtschatsjuristin ;Dipl. Wirtschatsjurist                                                                                                                                                                                                                                         ;Dipl. Wirtschatsjuristin                                                                                                                                                                                                                                       ;;;;;"0";0;159;;
;"098 ";;Ba. Lib. A;Ba. Lib. A;Ba. Lib. Arts Deg. (BA)  ;Ba. Lib. Arts Deg. ( BA) ;Bachelor of Liberal Arts Degree ( BA)                                                                                                                                                                                                                          ;Bachelor of Liiberal Arts Degree ( BA)                                                                                                                                                                                                                         ;;;;;"0";0;160;;
;"094 ";;Dipl.-Kult;Dipl.-Kult;Dipl.-Kulturwirt         ;Dipl.-Kulturwirtin       ;Diplom-Kulturwirt                                                                                                                                                                                                                                              ;Diplom-Kulturwirtin                                                                                                                                                                                                                                            ;;;;;"0";0;161;;
;"192 ";;Ingèniero ;Ingèniera ;Ingèniero Electrónico    ;Ingèniera Electrónico    ;Ingèniero Electrónico                                                                                                                                                                                                                                          ;Ingèniera Electrónico                                                                                                                                                                                                                                          ;;;;;"0";0;162;;
;"021 ";;Dipl.-Volk;Dipl.-Volk;Dipl.-Volkswirt, BBA     ;Dipl.-Volkswirtin, BBA   ;Dipl.-Volkswirt, BBA                                                                                                                                                                                                                                           ;Dipl.-Volkswirtin, BBA                                                                                                                                                                                                                                         ;;;;;"0";0;163;;
;"063 ";;Tech. Betr;Tech. Betr;Tech. Betriebsw. IHK     ;Tech. Betriebsw. IHK     ;Technischer Betriebswirt IHK                                                                                                                                                                                                                                   ;Technische Betriebswirtin IHK                                                                                                                                                                                                                                  ;;;;;"0";0;164;;
;"022 ";;Dipl.-Pfle;Dipl.-Pfle;Dipl.-Pflegewirt (FH)    ;Dipl.-Pflegewirtin (FH)  ;Dipl.-Pflegewirt (FH)                                                                                                                                                                                                                                          ;Dipl.-Pflegewirtin (FH)                                                                                                                                                                                                                                        ;;;;;"0";0;165;;
;"194 ";;PhDABD, M.;PhDABD, M.;PhDABD, M. Sc.           ;PhDABD, M. Sc.           ;PhDABD, M. Sc.                                                                                                                                                                                                                                                 ;PhDABD, M. Sc.                                                                                                                                                                                                                                                 ;;;;;"0";0;166;;
;"106 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. rer.nat.habil. ;Prof. Dr. rer.nat.habil. ;Professor Dr. rer. nat. habil.                                                                                                                                                                                                                                 ;Professorin Dr. rer. nat. habil.                                                                                                                                                                                                                               ;;;;;"0";0;167;;
;"023 ";;Dipl.-Desi;Dipl.-Desi;Dipl.-Designer           ;Dipl.-Designerin         ;Diplom-Designer                                                                                                                                                                                                                                                ;Diplom-Designerin                                                                                                                                                                                                                                              ;;;;;"0";0;168;;
;"107 ";;Dipl. rer.;Dipl. rer.;Dipl. rer. soc.          ;Dipl. rer. soc.          ;Social Sciences                                                                                                                                                                                                                                                ;Social Sciences                                                                                                                                                                                                                                                ;;;;;"0";0;169;;
;"114 ";;Prof. a. D;Prof. a. D;Prof. a. D. Dipl.-Math.  ;Prof. a. D. Dipl.-Math.  ;Professor a. D. Dipl.-Math.                                                                                                                                                                                                                                    ;Professorin a. D. Dipl.-Math.                                                                                                                                                                                                                                  ;;;;;"0";0;170;;
;"1221";;Prof. a.D.;Prof. a.D.;Prof. a.D. Dr. sc. techn.;Prof. a.D. Dr. sc. techn.;Professor a. D. Dr. sc. techn.                                                                                                                                                                                                                                 ;Professorin a. D. Dr. sc. techn.                                                                                                                                                                                                                               ;;;;;"0";0;171;;
;"1241";;Prof. a. D;Prof. a. D;Prof. a. D. Dr. sc. rer. ;Prof. a. D. Dr. sc. rer. ;Professor a. D. Dr. sc. rer.                                                                                                                                                                                                                                   ;Professorin a. d. Dr. sc. rer.                                                                                                                                                                                                                                 ;;;;;"0";0;172;;
;"1251";;Prof. a. D;Prof. a. F;Prof. a. D. Dr. rer. oec.;Prof. a. F. Dr. rer. oec.;Professor a. d. Dr. rer. oec.                                                                                                                                                                                                                                  ;Professorin a. D. Dr. rer. oec.                                                                                                                                                                                                                                ;;;;;"0";0;173;;
;"059 ";;Dr. sc. hu;Dr. sc. hu;Dr. sc. hum.             ;Dr. sc. hum.             ;Dr. sc. hum.                                                                                                                                                                                                                                                   ;Dr. sc. hum.                                                                                                                                                                                                                                                   ;;;;;"0";0;174;;
;"060 ";;Dr. med.  ;Dr. med.  ;Dr. med.                 ;Dr. med.                 ;Dr. med.                                                                                                                                                                                                                                                       ;Dr. med.                                                                                                                                                                                                                                                       ;;;;;"0";0;175;;
;"195 ";;LDA Dipl..;LDA Dipl..;LDA Dipl.. Ind. Des.     ;LDA Dipl.. Ind. Des.     ;LDA Dipl.. Ind. Des. (Uni Essen)                                                                                                                                                                                                                               ;LDA Dipl.. Ind. Des. (Uni Essen)                                                                                                                                                                                                                               ;;;;;"0";0;176;;
;"031 ";;Dipl.-Ing.;Dipl.-Ing.;Dipl.-Ing. (TU)          ;Dipl.-Ing. (TU)          ;Dipl.-Ing. (TU)                                                                                                                                                                                                                                                ;Dipl.-Ing. (TU)                                                                                                                                                                                                                                                ;;;;;"0";0;177;;
;"024 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. iur.           ;Prof. Dr. iur.           ;Prof. Dr. iur.                                                                                                                                                                                                                                                 ;Prof. Dr. iur.                                                                                                                                                                                                                                                 ;;;;;"0";0;178;;
;"185 ";;Honorarpro;Honorarpro;Honorarprofessor         ;Honorarprofessorin       ;Honorarprofessor Dipl.-Vokkswirt                                                                                                                                                                                                                               ;Honorarprofessorin Dipl.-Volkswirtin                                                                                                                                                                                                                           ;;;;;"0";0;179;;
;"085 ";;Betriebsw.;Betriebsw.;Betriebsw.(WADipl.-Inh.) ;Betriebsw.(WA Dipl.-Inh.);Betriebswirt (WA Dipl.-Inh.)                                                                                                                                                                                                                                   ;Betriebswirtin (WA Dipl.-Inh.)                                                                                                                                                                                                                                 ;;;;;"0";0;180;;
;"1481";;Prof. Dipl;Prof. Dipl;Prof. Dipl.-Des. (FH)    ;Prof. Dipl.-Des. (FH)    ;Prof. Dipl.-Designer (FH)                                                                                                                                                                                                                                      ;Prof. Dipl.-Designerin (FH)                                                                                                                                                                                                                                    ;;;;;"0";0;181;;
;"032 ";;Dipl.-Roma;Dipl.-Roma;Dipl.-Romanist           ;Dipl.-Romanistin         ;Diplom-Romanist                                                                                                                                                                                                                                                ;Diplom-Romanistin                                                                                                                                                                                                                                              ;;;;;"0";0;182;;
;"197 ";;Dipl.-Frei;Dipl.-Frei;Dipl.-Freizeitwiss. (FH) ;Dipl.-Freizeitwiss. (FH) ;Dipl.-Freizeitwissenschaftler (FH)                                                                                                                                                                                                                             ;Dipl.-Freizeitwissenschaftlerin (FH)                                                                                                                                                                                                                           ;;;;;"0";0;183;;
;"033 ";;Dipl.-Theo;Dipl.-Theo;Dipl.-Theologe           ;Dipl.-Theologin          ;Diplom-Theologe                                                                                                                                                                                                                                                ;Diplom-Theologin                                                                                                                                                                                                                                               ;;;;;"0";0;184;;
;"1651";;Betriebswi;Betriebswi;Betriebswirt (WFA)       ;Betriebswirtin (WFA)     ;Betriebswirt (WFA)                                                                                                                                                                                                                                             ;Betriebswirtin (WFA)                                                                                                                                                                                                                                           ;;;;;"0";0;185;;
;"1931";;Dipl.-Geog;Dipl.-Geog;Dipl.-Geogr. (FH)        ;Dipl.-Geogr. (FH)        ;Dipl.-Geograph (FH)                                                                                                                                                                                                                                            ;Dipl.-Geographin (FH)                                                                                                                                                                                                                                          ;;;;;"0";0;186;;
;"034 ";;Dipl.-Theo;Dipl.-Theo;Dipl.-Theologe (FH)      ;Dipl.-Theologin (FH)     ;Diplom-Theologe (FH)                                                                                                                                                                                                                                           ;Diplom-Theologin (FH)                                                                                                                                                                                                                                          ;;;;;"0";0;187;;
;"0921";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. sc. nat.       ;Prof. Dr. sc. nat.       ;Professor Dr. sc. nat.                                                                                                                                                                                                                                         ;Professorin Dr. sc. nat.                                                                                                                                                                                                                                       ;;;;;"0";0;188;;
;"0011";;Dr. rer. b;Dr. rer. b;Dr. rer. biol. hum.      ;Dr. rer. biol. hum.      ;Dr. rer. biol. hum.                                                                                                                                                                                                                                            ;Dr. rer. biol. hum.                                                                                                                                                                                                                                            ;;;;;"0";0;189;;
;"0031";;Dr. rer. p;Dr. rer. p;Dr. rer. pol. habil.     ;Dr. rer. pol. habil.     ;Dr. rer. pol. habil.                                                                                                                                                                                                                                           ;Dr. rer. pol. habil.                                                                                                                                                                                                                                           ;;;;;"0";0;190;;
;"0231";;Prof. Dipl;Prof. Dipl;Prof. Dipl.-Designer     ;Prof. Dipl.-Designerin   ;Professor Diplom-Designer                                                                                                                                                                                                                                      ;Professorin Diplom-Designerin                                                                                                                                                                                                                                  ;;;;;"0";0;191;;
;"0711";;Dr.-Indust;Dr.-Indust;Dr.-Industrie-Ing.       ;Dr.-Industrie-Ing.       ;Dr.-Industrie-Ingenieur                                                                                                                                                                                                                                        ;Dr.-Industrie-Ingenieur                                                                                                                                                                                                                                        ;;;;;"0";0;192;;
;"1652";;Betriebswi;Betriebswi;Betriebswirt (HWK)       ;Betriebswirtin (HWK)     ;Betriebswirt (HWK)                                                                                                                                                                                                                                             ;Betriebswirtin (HWK)                                                                                                                                                                                                                                           ;;;;;"0";0;193;;
;"198 ";;Finanz.- u;Finanz.- u;Finanz.- u. Leasingsw.   ;Finanz.- u. Leasingsw.   ;Diplom Finanzierungs- und Leasingswirt VWA                                                                                                                                                                                                                     ;Diplom Finanzierungs- und Leasingswirtin VWA                                                                                                                                                                                                                   ;;;;;"0";0;194;;
;"1001";;Diplom-Ame;Diplom-Ame;Diplom-Amerikanist       ;Diplom-Amerikanistin     ;Diplom-Amerikanist                                                                                                                                                                                                                                             ;Diplom-Amerikanistin                                                                                                                                                                                                                                           ;;;;;"0";0;195;;
;"0021";;Prof.Dr. r;Prof.Dr. r;Prof.Dr. rer. nat. habil.;Prof.Dr. rer. nat. habil.;Prof. Dr. rer. nat. habil.                                                                                                                                                                                                                                     ;Prof. Dr. rer. nat. habil.                                                                                                                                                                                                                                     ;;;;;"0";0;196;;
;"1002";;Dipl.-Spor;Dipl.-Spor;Dipl.-Sportwiss.         ;Dipl.-Sportwiss.         ;Diplom-Sportwissenschaftler                                                                                                                                                                                                                                    ;Diplom-Sportwissenschaftlerin                                                                                                                                                                                                                                  ;;;;;"0";0;197;;
;"1010";;Diplom-Ang;Diplom-Ang;Diplom-Anglist           ;Diplom-Anglistin         ;Diplom-Anglist                                                                                                                                                                                                                                                 ;Diplom-Anglistin                                                                                                                                                                                                                                               ;;;;;"0";0;198;;
;"045 ";;Dipl. AV-M;Dipl. AV-M;Dipl. AV-Medien          ;Dipl. AV-Medien          ;Dipl. AV-Medien                                                                                                                                                                                                                                                ;Dipl. AV-Medien                                                                                                                                                                                                                                                ;;;;;"0";0;199;;
;"199 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. rer.pol.habil. ;Prof. Dr. rer.pol.habil. ;Prof. Dr. rer.pol.habil.                                                                                                                                                                                                                                       ;Prof. Dr. rer.pol.habil.                                                                                                                                                                                                                                       ;;;;;"0";0;200;;
;"200 ";;P.D.Dr.-In;P.D.Dr.-In;P.D.Dr.-Ing.Dr.rer.nat.  ;P.D.Dr.-Ing.Dr.rer.nat.  ;P.D.Dr.-Ing.Dr.rer.nat.habil                                                                                                                                                                                                                                   ;P.D.Dr.-Ing.Dr.rer.nat.habil                                                                                                                                                                                                                                   ;;;;;"0";0;201;;
;"201 ";;Dipl. Musi;Dipl. Musi;Dipl. Musiker            ;Dipl. Musiker            ;Diplom-Musiker                                                                                                                                                                                                                                                 ;Diplom-Musiker                                                                                                                                                                                                                                                 ;;;;;"0";0;202;;
;"202 ";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. rer.nat.habil. ;Prof. Dr. rer.nat.habil. ;Prof. Dr. rer.nat.habil.                                                                                                                                                                                                                                       ;Prof. Dr. rer.nat.habil.                                                                                                                                                                                                                                       ;;;;;"0";0;203;;
;"203 ";;Dr. phil. ;Dr. phil. ;Dr. phil. Dipl.-Des.     ;Dr. phil. Dipl.-Des.     ;Dr. phil. Dipl.-Des.                                                                                                                                                                                                                                           ;Dr. phil. Dipl.-Des.                                                                                                                                                                                                                                           ;;;;;"0";0;204;;
;"204 ";;Diplom-Bio;Diplom-Bio;Diplom-Biologe Univ.     ;Diplom-Biologin Univ.    ;Diplom-Biologe Univ.                                                                                                                                                                                                                                           ;Diplom-Biologin Univ.                                                                                                                                                                                                                                          ;;;;;"0";0;205;;
;"205 ";;Diplom - Ö;Diplom - Ö;Diplom - Ökonom          ;Diplom - Ökonomin        ;Diplom - Ökonom                                                                                                                                                                                                                                                ;Diplom - Ökonomin                                                                                                                                                                                                                                              ;;;;;"0";0;206;;
;"206 ";;Dipl. oec.;Dipl. oec.;Dipl. oec. Univ          ;Dipl. oec. Univ          ;Diplom Ökonom Univ                                                                                                                                                                                                                                             ;Diplom Ökonomin Univ                                                                                                                                                                                                                                           ;;;;;"0";0;207;;
;"0601";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. med.           ;Prof. Dr. med.           ;Professor Dr. med.                                                                                                                                                                                                                                             ;Professorin Dr. med.                                                                                                                                                                                                                                           ;;;;;"0";0;208;;
;"207 ";;Dr. phil. ;Dr. phil. ;Dr. phil. nat.           ;Dr. phil. nat.           ;Dr. phil. nat.                                                                                                                                                                                                                                                 ;Dr. phil. nat.                                                                                                                                                                                                                                                 ;;;;;"0";0;209;;
;"0012";;Dr. rer. s;Dr. rer. s;Dr. rer. soc. oec.       ;Dr. rer. soc. oec.       ;Dr. rer. soc. oec.                                                                                                                                                                                                                                             ;Dr. rer. soc. oec.                                                                                                                                                                                                                                             ;;;Dr. rer. soc. oec.       ;Dr. rer. soc. oec.       ;"0";0;210;;
;"1011";;Jun.-Prof.;Jun.-Prof.;Jun.-Prof. Dr. rer. nat. ;Jun.-Prof. Dr. rer. nat. ;Juniorprofessor Dr. rer. nat.                                                                                                                                                                                                                                  ;Juniorprofessorin Dr. rer. nat.                                                                                                                                                                                                                                ;;;;;"0";0;211;;
;"0301";;Dipl.-Kauf;Dipl.-Kauf;Dipl.-Kaufmann Univ.     ;Dipl.-Kauffrau Univ.     ;Dipl.-Kaufmann Univ.                                                                                                                                                                                                                                           ;Dipl.-Kauffrau Univ.                                                                                                                                                                                                                                           ;;;;;"0";0;212;;
;"1291";;Prof. a. D;Prof. a. D;Prof. a. D. Dipl.-Kfm.   ;Prof. a. D. Dipl.-Kfm.   ;Professor a. D. Dipl.-Kfm.                                                                                                                                                                                                                                     ;Professorin a. D. Dipl.-Kfm.                                                                                                                                                                                                                                   ;;;;;"0";0;213;;
;"2031";;Dr. des.  ;Dr. des.  ;Dr. des.                 ;Dr. des.                 ;Dr. des.                                                                                                                                                                                                                                                       ;Dr. des.                                                                                                                                                                                                                                                       ;;;;;"0";0;214;;
;"0361";;Dipl.-Be. ;Dipl.-Be. ;Dipl.-Be. (BA)/Dipl.-Päd.;Dipl.-Be. (BA)/Dipl.-Päd.;Diplom-Betriebswirt (BA)/Diplom-Pädagage                                                                                                                                                                                                                       ;Diplom-Betriebswirtin (BA)/Diplom-Padagogin                                                                                                                                                                                                                    ;;;;;"0";0;215;;
;"1211";;Verwaltung;Verwaltung;Verwaltungswirt          ;Verwaltungswirtin        ;Verwaltungswirt                                                                                                                                                                                                                                                ;Verwaltungswirtin                                                                                                                                                                                                                                              ;;;;;"0";0;216;;
;"208 ";;Dipl. Oeco;Dipl. Oeco;Dipl. Oecotroph.         ;Dipl. Oecotroph.         ;Dipl. Oecotrophologin                                                                                                                                                                                                                                          ;Dipl. Oecotrophologin                                                                                                                                                                                                                                          ;;;;;"0";0;217;;
;"209 ";;Dipl.-Tech;Dipl.-Tech;Dipl.-Tech.-Red. (FH)    ;Dipl.-Tech.-Red. (FH)    ;Diplom - Technikredakteur (FH)                                                                                                                                                                                                                                 ;Diplom - Technikredakteurin (FH)                                                                                                                                                                                                                               ;;;;;"0";0;218;;
;"210 ";;MBI       ;MBI       ;MBI                      ;MBI                      ;Master of Business Informatics                                                                                                                                                                                                                                 ;Master of Business Informatics                                                                                                                                                                                                                                 ;;;;;"0";0;219;;
;"1341";;Dipl.-Wirt;Dipl.-Wirt;Dipl.-Wirt.-Pädagoge     ;Dipl.-Wirt.-Pädagogin    ;Dipl.-Wirtschaftspädagoge                                                                                                                                                                                                                                      ;Dipl.-Wirtschaftspädagogin                                                                                                                                                                                                                                     ;;;;;"0";0;220;;
;"062 ";;Dr. rer. s;;Dr. rer. soc.            ;;Dr. der Sozialwissenschaften                                                                                                                                                                                                                                   ;;;;;;"0";0;221;;
;"0712";;Dr.-Ing. m;Dr.-Ing. m;Dr.-Ing. med. habil.     ;Dr.-Ing. med. habil.     ;Dr.-Ing. med. habil.                                                                                                                                                                                                                                           ;Dr.-Ing. med. habil.                                                                                                                                                                                                                                           ;;;;;"0";0;222;;
;"0022";;PD Dr. rer;PD Dr. rer;PD Dr. rer. nat. habil.  ;PD Dr. rer. nat. habil.  ;PD Dr. rer. nat. habil.                                                                                                                                                                                                                                        ;PD Dr. rer. nat. habil.                                                                                                                                                                                                                                        ;;;PD Dr. rer. nat. habil.  ;PD Dr. rer. nat. habil.  ;"0";0;223;;
;"0521";;Dipl.-Info;Dipl.-Info;Dipl.-Inform. (Univ)     ;Dipl.-Inform. (Univ)     ;Dipl.-Inform. (Univ)                                                                                                                                                                                                                                           ;Dipl.-Inform. (Univ)                                                                                                                                                                                                                                           ;;;;;"0";0;224;;
;"1881";;Dipl.-Logi;Dipl.-Logi;Dipl.-Logist             ;Dipl.-Logist             ;Dipl.-Logist                                                                                                                                                                                                                                                   ;Dipl.-Logist                                                                                                                                                                                                                                                   ;;;;;"0";0;225;;
;"211 ";;MLIS      ;MLIS      ;MLIS                     ;MLIS                     ;Master of Library and Information Science                                                                                                                                                                                                                      ;Master of Library and Information Science                                                                                                                                                                                                                      ;;;;;"0";0;226;;
;"212 ";;MIB       ;MIB       ;MIB                      ;MIB                      ;Master Internationale Beziehungen                                                                                                                                                                                                                              ;Master Internationale Beziehungen                                                                                                                                                                                                                              ;;;;;"0";0;227;;
;"213 ";;Dr. sc. na;;Dr. sc. nat.             ;;Dr. der Naturwissenschaften                                                                                                                                                                                                                                    ;;;;;;"0";0;228;;
;"229 ";;Prof. (FH);;Prof. (FH) a.D. Dr.      ;;Prof. (FH) a.D. Dr.                                                                                                                                                                                                                                            ;;;;;;"0";0;229;;
;"0101";;PD. Dr.   ;PD. Dr.   ;PD. Dr.                  ;PD. Dr.                  ;PD. Dr.                                                                                                                                                                                                                                                        ;PD. Dr.                                                                                                                                                                                                                                                        ;;;;;"0";0;230;;
;"230 ";;Dr. oec. H;;Dr. oec. HSG             ;;Dr. der Wirtschaftswissenschaften                                                                                                                                                                                                                              ;;;;;;"0";0;231;;
;"232 ";;Dr. oec. p;;Dr. oec. publ.           ;;Dr. der Staatswissenscahften                                                                                                                                                                                                                                   ;;;;;;"0";0;232;;
