,01577,0,,A,,Riesa,MEI,14627,
,01578,0,,A,,Riesa,MEI,14627,
,01579,0,,A,,Riesa,MEI,14627,
,01583,0,,A,,Riesa,MEI,14627,
,01585,0,,A,,Riesa,MEI,14627,
,01587,0,ZS,A,,Riesa,MEI,14627,
,01589,0,ZS,A,,Riesa,MEI,14627,
,01591,0,ZS,A,,Riesa,MEI,14627,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01594,0,ZS,A,,Riesa,MEI,14627,
,01594,0,ZS,A,,Stauchitz,MEI,14627,
,01594,0,ZS,A,,Hirschstein,MEI,14627,
,01609,0,ZS,A,,WÃ¼lknitz,MEI,14627,
,01609,0,ZS,A,,Streumen,MEI,14627,
,01609,0,ZS,A,,RÃ¶deraue,MEI,14627,
,01609,0,ZS,A,,Peritz,MEI,14627,
,01609,0,ZS,A,,Nauwalde,MEI,14627,
,01609,0,ZS,A,,Lichtensee,MEI,14627,
,01609,0,ZS,A,,HeidehÃ¤user,MEI,14627,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01609,0,ZS,A,,GrÃ¶ditz,MEI,14627,
,01609,0,ZS,A,,Tiefenau,MEI,14627,
,01612,0,ZS,A,,Diesbar-SeuÃlitz,MEI,14627,
,01612,0,ZS,A,,Glaubitz,MEI,14627,
,01612,0,ZS,A,,NÃ¼nchritz,MEI,14627,
,01614,0,,A,,Strehla,MEI,14627,
,01616,0,ZS,A,,Strehla,MEI,14627,
,01618,0,,A,,Zeithain,MEI,14627,
,01619,0,ZS,A,,Zeithain,MEI,14627,
,01620,0,,A,,Zeithain,MEI,14627,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01621,0,,A,,Lommatzsch,MEI,14627,
,01623,0,ZS,A,,Lommatzsch,MEI,14627,
,01631,0,,A,,Coswig,MEI,14627,
,01632,0,,A,,Coswig,MEI,14627,
,01633,0,,A,,Coswig,MEI,14627,
,01640,0,ZS,A,,Coswig,MEI,14627,
,01651,0,,A,,MeiÃen,MEI,14627,
,01652,0,,A,,MeiÃen,MEI,14627,
,01653,0,,A,,MeiÃen,MEI,14627,
,01654,0,,A,,MeiÃen,MEI,14627,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01657,0,,A,,MeiÃen,MEI,14627,
,01662,0,ZS,A,,MeiÃen,MEI,14627,
,01665,0,ZS,A,,KÃ¤bschÃ¼tztal,MEI,14627,
,01665,0,ZS,A,,Diera-Zehren,MEI,14627,
,01665,0,ZS,A,,Klipphausen,MEI,14627,
,01681,0,,A,,Nossen,MEI,14627,
,01683,0,ZS,A,,Nossen,MEI,14627,
,01686,0,,A,,WeinbÃ¶hla,MEI,14627,
,01689,0,ZS,A,,WeinbÃ¶hla,MEI,14627,
,01689,0,ZS,A,,Niederau,MEI,14627,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01691,0,,A,,Freital,PIR,14628,
,01705,0,ZS,A,,Freital,PIR,14628,
,01723,0,ZS,A,,Kesselsdorf,PIR,14628,
,01723,0,ZS,A,,Grumbach,PIR,14628,
,01723,0,ZS,A,,Helbigsdorf-Blankenstein,PIR,14628,
,01723,0,ZS,A,,Wilsdruff,PIR,14628,
,01723,0,ZS,A,,Mohorn,PIR,14628,
,01728,0,ZS,A,,Bannewitz,PIR,14628,
,01730,0,,A,,Kreischa,PIR,14628,
,01731,0,ZS,A,,Kreischa,PIR,14628,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01734,0,ZS,A,,Rabenau,PIR,14628,
