"db_einfuegemarke","key_hochschule","ueberkey","kurz_hochschule","druck_hochschule","text_hochschule","bund_hochschule","key_von","key_bis","habil_recht","land_hochschule","art","betriebsnummer","haupt_neben_kz","plz","ort"
,"0630  ",,,HHL Leipzig              ,HHL Leipzig Graduate School of Management (Priv. H)                                                                                                                                                                                                            ,"0630",,,,,,,,,
,"0640  ",,,TU Dresden Med. Fakultät ,TU Dresden (Med. Fakultät)                                                                                                                                                                                                                                     ,"0640",,,,,,,,,
,"0650  ",,,U Leipzig (Med. Fakultät),U Leipzig (Med. Fakultät)                                                                                                                                                                                                                                      ,"0650",,,,,,,,,
,"0660  ",,,Jacobs University Bremen ,Constructor University Bremen gGmbH (Priv. U)                                                                                                                                                                                                                  ,"0660",,,,,,,,,
,"0670  ",,,Management Techn. Berlin ,"European School of Management and Technology, Berlin (Priv. H)                                                                                                                                                                                                 ","0670",,,,,,,,,
,"0680  ",,,Hertie Governance  Berlin,"Hertie School of Governance, Berlin (Priv. wiss. H)                                                                                                                                                                                                            ","0680",,,,,,,,,
,"0690  ",,,"Hafencity Uni., Hamburg  ","Hafencity Universität, Hamburg                                                                                                                                                                                                                                 ","0690",,,J,,,,,,
,"0700  ",,,bbw HS Berlin (Priv. FH) ,bbw Hochschule Berlin (Priv. FH)                                                                                                                                                                                                                               ,"0700",,,,,,,,,
,"0710  ",,,Kirchenmusik Herford     ,H für Kirchenmusik Herford-Witten (Kirchl.-Theol. H)                                                                                                                                                                                                           ,"0710",,,,,,,,,
,"0716  ",,FHdB öVw  ,"FHdB öff.Verw.,Sigmaringn","FHdB öff.Verw.,Sigmaringn                                                                                                                                                                                                                                      ","0716",,,N,,,,,,
,"0720  ",,,Sprachen München / SDI   ,H für angewandte Sprachen München/SDI (Priv. FH)                                                                                                                                                                                                               ,"0720",,,,,,,,,
